Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0.92,0,1.867081,2,-0.522349,2,2.064165,2,1.756126,2,25.474981,2,2.473399,2,2.084716,2,0.160495,0.249123,0.128268,0.017725,-0.184022,-0.047375
0.93,0,1.920307,2,-0.512877,2,2.119869,2,1.733936,2,24.876613,2,2.466412,2,2.031762,2,0.160173,0.246544,0.127301,0.017081,-0.181766,-0.046086
0.94,0,1.945518,2,-0.51423,2,2.184858,2,1.797335,2,24.869195,2,2.335988,2,2.079142,2,0.159529,0.246222,0.126656,0.016436,-0.180799,-0.045441
0.95,0,1.958124,2,-0.516936,2,2.082733,2,1.749786,2,25.106564,2,2.291737,2,2.048484,2,0.158884,0.244289,0.126334,0.016759,-0.180155,-0.044797
0.96,0,1.952522,2,-0.515583,2,2.020839,2,1.718087,2,25.346406,2,2.35462,2,2.017826,2,0.159851,0.244611,0.125689,0.017403,-0.17951,-0.044475
0.97,0,1.925909,2,-0.515583,2,2.057975,2,1.749786,2,25.695041,2,2.315027,2,1.928641,2,0.158562,0.243966,0.126656,0.017403,-0.17951,-0.045119
0.98,0,1.907701,2,-0.51829,2,1.971324,2,1.718087,2,26.05604,2,2.280092,2,2.026188,2,0.15824,0.242999,0.125367,0.017081,-0.179832,-0.045764
0.99,0,1.916105,2,-0.512877,2,2.036312,2,1.771975,2,25.734603,2,2.263789,2,2.073567,2,0.162107,0.25009,0.128268,0.018048,-0.181444,-0.046731
1,0,1.895095,2,-0.522349,2,1.946566,2,1.648349,2,26.498635,2,2.142681,2,1.970446,2,0.163718,0.252346,0.12859,0.017725,-0.181766,-0.046731
1.011,0,1.889492,2,-0.529115,2,1.859914,2,1.61982,2,27.262667,2,2.149668,2,2.07078,2,0.164685,0.253312,0.128912,0.01837,-0.183378,-0.046408
1.02,0,1.941317,2,-0.522349,2,1.986797,2,1.730767,2,26.859633,2,2.186932,2,2.093077,2,0.172098,0.267493,0.130201,0.019337,-0.185633,-0.047697
1.03,0,1.972131,2,-0.534528,2,2.054881,2,1.784655,2,26.938756,2,2.254473,2,2.015039,2,0.181444,0.283607,0.135035,0.020948,-0.192079,-0.048987
1.04,0,1.987538,2,-0.530469,2,1.999176,2,1.730767,2,27.967356,2,2.138023,2,1.925854,2,0.179188,0.279417,0.134713,0.020626,-0.192401,-0.049309
1.05,0,1.99174,2,-0.538588,2,1.965134,2,1.775145,2,28.05637,2,2.096101,2,1.981595,2,0.184667,0.289085,0.137936,0.021593,-0.196269,-0.049631
1.06,0,1.993141,2,-0.548061,2,1.924903,2,1.714917,2,29.015738,2,2.072811,2,2.031762,2,0.184667,0.28683,0.137614,0.021593,-0.196269,-0.050598
1.07,0,2.001545,2,-0.548061,2,1.996081,2,1.737106,2,28.99843,2,2.058837,2,2.059632,2,0.191112,0.298109,0.137614,0.02256,-0.197558,-0.050276
1.08,0,2.001545,2,-0.546707,2,1.986797,2,1.787825,2,28.753643,2,2.142681,2,2.093077,2,0.199814,0.314223,0.141159,0.023526,-0.202714,-0.052209
1.09,0,1.955323,2,-0.550767,2,2.048691,2,1.727597,2,29.51273,2,2.070482,2,2.026188,2,0.196591,0.309711,0.140192,0.022882,-0.201747,-0.052854
1.1,0,1.938515,2,-0.554827,2,2.005365,2,1.749786,2,29.868785,2,2.02856,2,1.984382,2,0.200781,0.316157,0.142448,0.02256,-0.205293,-0.054143
1.11,0,1.903499,2,-0.56024,2,2.076544,2,1.692728,2,30.640236,2,1.988967,2,2.059632,2,0.199169,0.313901,0.141481,0.023204,-0.20497,-0.054465
1.12,0,1.920307,2,-0.558887,2,1.974418,2,1.711747,2,31.147119,2,2.00527,2,1.945363,2,0.198525,0.313579,0.141803,0.023204,-0.204648,-0.053498
1.13,0,1.983336,2,-0.565653,2,2.064165,2,1.683218,2,30.867715,2,1.98198,2,1.978808,2,0.205292,0.32357,0.142126,0.024171,-0.206259,-0.055432
1.14,0,1.979134,2,-0.558887,2,1.946566,2,1.743446,2,30.988873,2,2.049521,2,1.914705,2,0.206259,0.325825,0.141159,0.024493,-0.205937,-0.054465
1.15,0,2.009949,2,-0.5643,2,2.00846,2,1.835373,2,31.038325,2,2.02856,2,1.984382,2,0.205615,0.323892,0.141159,0.024171,-0.205615,-0.054143
1.16,0,2.022555,2,-0.558887,2,1.952755,2,1.917791,2,31.149592,2,2.023902,2,2.051271,2,0.204326,0.320991,0.140192,0.023849,-0.205615,-0.053821
1.17,0,2.046366,2,-0.55212,2,2.011555,2,1.93364,2,30.758921,2,2.037876,2,2.076355,2,0.20207,0.31938,0.140514,0.024171,-0.204326,-0.053821
1.18,0,2.067376,2,-0.554827,2,1.96204,2,1.901941,2,30.575948,2,2.021573,2,2.054058,2,0.202714,0.318091,0.138581,0.022237,-0.201747,-0.053176
1.19,0,2.058972,2,-0.550767,2,2.042502,2,1.95266,2,30.60562,2,2.063495,2,2.001104,2,0.201747,0.316479,0.138258,0.02256,-0.202392,-0.052854
1.2,0,2.030959,2,-0.557533,2,1.989892,2,1.879752,2,30.67238,2,2.030889,2,2.037336,2,0.201425,0.316157,0.138258,0.02256,-0.200458,-0.052209
1.21,0,2.028158,2,-0.548061,2,2.06107,2,1.94949,2,30.746558,2,1.991296,2,2.003891,2,0.200136,0.31519,0.137936,0.023526,-0.199814,-0.051887
1.22,0,2.016952,2,-0.550767,2,1.992987,2,1.93047,2,30.640236,2,2.012257,2,2.04291,2,0.200781,0.313257,0.138258,0.022882,-0.199492,-0.051887
1.23,0,2.01275,2,-0.548061,2,2.06107,2,1.984359,2,30.583366,2,1.974993,2,2.001104,2,0.199169,0.314223,0.138258,0.022882,-0.199169,-0.051565
1.24,0,2.008548,2,-0.549414,2,1.986797,2,2.031907,2,30.67238,2,2.019244,2,1.8729,2,0.199169,0.311967,0.136969,0.023204,-0.199492,-0.051887
1.25,0,1.988939,2,-0.548061,2,2.030123,2,1.974849,2,30.761394,2,1.984309,2,1.959298,2,0.198847,0.311645,0.136647,0.022882,-0.19788,-0.05092
1.26,0,1.994542,2,-0.544001,2,1.968229,2,1.94632,2,30.867715,2,1.963348,2,2.031762,2,0.198525,0.311645,0.135358,0.023526,-0.196913,-0.051887
1.27,0,2.000144,2,-0.546707,2,2.020839,2,1.974849,2,30.692161,2,1.988967,2,2.04291,2,0.197558,0.310356,0.136002,0.022882,-0.196913,-0.051565
1.28,0,1.99174,2,-0.545354,2,1.971324,2,1.95266,2,30.761394,2,1.977322,2,1.992743,2,0.198847,0.310034,0.135358,0.023204,-0.196591,-0.050276
1.29,0,1.998744,2,-0.542648,2,2.036312,2,2.006548,2,30.689688,2,2.019244,2,2.045697,2,0.198202,0.309711,0.136002,0.02256,-0.196269,-0.05092
1.3,0,1.99034,2,-0.535882,2,1.983702,2,1.95583,2,30.721832,2,1.986638,2,2.020613,2,0.19788,0.309711,0.136002,0.022882,-0.196269,-0.051565
1.31,0,1.994542,2,-0.541295,2,1.937282,2,1.908281,2,30.625401,2,1.974993,2,1.978808,2,0.197235,0.309067,0.135035,0.022237,-0.194013,-0.05092
1.32,0,1.986138,2,-0.544001,2,1.999176,2,1.974849,2,30.702051,2,2.000612,2,2.040123,2,0.197235,0.309067,0.135035,0.023204,-0.194657,-0.051565
1.33,0,1.986138,2,-0.546707,2,1.971324,2,1.95266,2,30.776229,2,1.986638,2,2.026188,2,0.197558,0.308422,0.135358,0.022882,-0.193368,-0.05092
1.34,0,1.984737,2,-0.535882,2,2.051786,2,2.000208,2,30.650127,2,2.023902,2,2.065206,2,0.197235,0.307455,0.133746,0.022237,-0.194013,-0.051243
1.35,0,1.983336,2,-0.544001,2,1.96204,2,1.959,2,30.603147,2,1.998283,2,2.031762,2,0.197235,0.307455,0.135035,0.023526,-0.19369,-0.05092
1.36,0,1.974932,2,-0.539941,2,2.070354,2,1.882922,2,30.697106,2,1.998283,2,2.020613,2,0.196913,0.3081,0.134391,0.022882,-0.193046,-0.050598
1.37,0,1.986138,2,-0.548061,2,2.027028,2,1.974849,2,30.731722,2,2.012257,2,1.90077,2,0.196591,0.307455,0.134391,0.023204,-0.193368,-0.050276
1.38,0,1.973532,2,-0.546707,2,1.968229,2,1.94949,2,31.122393,2,1.884162,2,1.964872,2,0.197235,0.306811,0.134069,0.02256,-0.193368,-0.050276
1.39,0,1.983336,2,-0.541295,2,2.033218,2,2.009718,2,31.060578,2,1.972664,2,2.015039,2,0.197235,0.307778,0.134391,0.022882,-0.193046,-0.051565
1.4,0,2.009949,2,-0.546707,2,1.977513,2,2.038247,2,30.803428,2,1.986638,2,1.976021,2,0.196269,0.306811,0.133746,0.02256,-0.19369,-0.050598
1.41,0,2.016952,2,-0.542648,2,2.06107,2,1.971679,2,30.714414,2,1.986638,2,2.040123,2,0.196269,0.305844,0.133746,0.02256,-0.194013,-0.051243
1.42,0,2.008548,2,-0.534528,2,2.005365,2,2.054097,2,30.758921,2,2.000612,2,2.028975,2,0.196269,0.306166,0.133424,0.02256,-0.192724,-0.050598
1.43,0,2.002946,2,-0.541295,2,1.971324,2,2.019228,2,30.842989,2,1.972664,2,1.989956,2,0.196591,0.305522,0.133746,0.021593,-0.193046,-0.050598
1.44,0,1.995942,2,-0.538588,2,2.06107,2,2.069946,2,30.877606,2,2.016915,2,2.04291,2,0.195302,0.3052,0.133746,0.022237,-0.193046,-0.051565
1.45,0,1.997343,2,-0.533175,2,2.088922,2,2.012888,2,30.825681,2,1.984309,2,2.012252,2,0.195302,0.304877,0.133424,0.02256,-0.191757,-0.050598
1.46,0,2.015552,2,-0.535882,2,2.073449,2,1.93364,2,30.800955,2,1.963348,2,1.934215,2,0.195624,0.303588,0.133102,0.021915,-0.192724,-0.050598
1.47,0,2.021154,2,-0.534528,2,1.96204,2,2.028737,2,30.850407,2,2.002941,2,2.037336,2,0.195624,0.30391,0.132779,0.021915,-0.192401,-0.050276
1.48,0,2.015552,2,-0.541295,2,2.070354,2,2.016058,2,30.892441,2,1.972664,2,1.998317,2,0.195624,0.304233,0.133424,0.023204,-0.192079,-0.049953
1.49,0,2.01275,2,-0.539941,2,2.002271,2,2.066776,2,30.917167,2,2.014586,2,2.028975,2,0.194657,0.304233,0.132135,0.021593,-0.192079,-0.051887
1.5,0,2.022555,2,-0.535882,2,2.042502,2,2.016058,2,30.850407,2,1.979651,2,1.989956,2,0.195302,0.303588,0.131813,0.021915,-0.192401,-0.051565
1.51,0,2.005747,2,-0.544001,2,2.00846,2,1.920961,2,30.907277,2,1.921426,2,1.937002,2,0.194657,0.302944,0.131168,0.021593,-0.191757,-0.051565
